城市,日期,白天天氣現象,白天降雨機率,白天最低溫度,白天舒適度,白天最高溫度,晚上天氣現象,晚上降雨機率,晚上最低溫度,晚上舒適度,晚上最高溫度
澎湖縣,2023-01-08,晴時多雲,0,17,稍有寒意,19,晴時多雲,20,17,稍有寒意,17
彰化縣,2023-01-08,晴時多雲,0,16,稍有寒意至舒適,22,晴時多雲,10,17,稍有寒意,19
連江縣,2023-01-08,晴時多雲,0,12,寒冷,14,陰時多雲短暫雨,30,12,寒冷,13
嘉義縣,2023-01-09,晴時多雲,10,17,稍有寒意至舒適,24,晴時多雲,20,18,稍有寒意至舒適,21
新北市,2023-01-09,多雲短暫雨,30,17,稍有寒意至舒適,24,多雲時陰短暫雨,40,18,稍有寒意至舒適,21
嘉義市,2023-01-09,晴時多雲,10,17,稍有寒意至舒適,25,多雲時晴,20,17,稍有寒意至舒適,21
新竹縣,2023-01-09,多雲短暫雨,30,17,稍有寒意至舒適,22,陰時多雲短暫雨,30,17,稍有寒意,19
新竹市,2023-01-09,多雲短暫雨,30,17,稍有寒意至舒適,21,多雲短暫雨,30,17,稍有寒意,18
臺北市,2023-01-09,多雲時陰短暫雨,30,17,稍有寒意至舒適,24,多雲時陰短暫雨,40,17,稍有寒意,20
臺南市,2023-01-09,多雲時晴,10,18,稍有寒意至舒適,23,晴時多雲,20,18,稍有寒意,20
宜蘭縣,2023-01-09,陰時多雲短暫雨,60,16,稍有寒意至舒適,21,陰短暫雨,70,17,稍有寒意,19
苗栗縣,2023-01-09,多雲短暫雨,30,17,稍有寒意至舒適,21,多雲短暫雨,30,17,稍有寒意,19
雲林縣,2023-01-09,晴時多雲,10,17,稍有寒意至舒適,24,多雲時晴,20,17,稍有寒意,20
花蓮縣,2023-01-09,陰時多雲短暫雨,70,17,稍有寒意至舒適,22,陰短暫雨,70,18,稍有寒意至舒適,20
臺中市,2023-01-09,多雲時陰,10,18,稍有寒意至舒適,23,多雲短暫雨,30,18,稍有寒意至舒適,21
臺東縣,2023-01-09,陰時多雲短暫雨,40,18,稍有寒意至舒適,23,陰時多雲短暫雨,50,19,稍有寒意至舒適,21
桃園市,2023-01-09,多雲時陰短暫雨,30,17,稍有寒意至舒適,24,多雲時陰短暫雨,40,17,稍有寒意,20
南投縣,2023-01-09,多雲,10,17,稍有寒意至舒適,23,多雲短暫雨,30,17,稍有寒意至舒適,21
高雄市,2023-01-09,多雲,10,19,稍有寒意至舒適,24,晴時多雲,20,19,稍有寒意至舒適,23
金門縣,2023-01-09,多雲時陰短暫雨,60,16,稍有寒意,19,多雲時陰短暫雨,50,16,稍有寒意,17
屏東縣,2023-01-09,多雲,10,19,稍有寒意至舒適,26,陰時多雲,20,19,稍有寒意至舒適,24
基隆市,2023-01-09,陰時多雲短暫雨,40,17,稍有寒意至舒適,22,陰時多雲短暫雨,70,17,稍有寒意,20
澎湖縣,2023-01-09,多雲,10,17,稍有寒意,19,陰時多雲,20,17,稍有寒意,18
彰化縣,2023-01-09,多雲,10,17,稍有寒意至舒適,21,多雲時晴,20,18,稍有寒意,19
連江縣,2023-01-09,陰短暫雨,40,13,寒冷,15,陰時多雲短暫雨,40,13,寒冷,14
嘉義縣,2023-01-10,多雲,20,18,稍有寒意至舒適,23,多雲時陰,10,18,稍有寒意,20
新北市,2023-01-10,多雲短暫雨,70,18,稍有寒意至舒適,21,多雲短暫雨,40,18,稍有寒意,19
嘉義市,2023-01-10,多雲,20,17,稍有寒意至舒適,25,多雲時陰,10,17,稍有寒意至舒適,21
新竹縣,2023-01-10,多雲時晴,20,17,稍有寒意至舒適,22,晴時多雲,20,17,稍有寒意,19
新竹市,2023-01-10,多雲時晴,20,17,稍有寒意至舒適,21,晴時多雲,20,17,稍有寒意,18
臺北市,2023-01-10,多雲時陰短暫雨,70,18,稍有寒意至舒適,21,多雲短暫雨,50,17,稍有寒意,19
臺南市,2023-01-10,多雲時陰,20,18,稍有寒意至舒適,23,陰時多雲,10,18,稍有寒意至舒適,21
宜蘭縣,2023-01-10,陰短暫雨,80,17,稍有寒意至舒適,20,多雲短暫雨,50,17,稍有寒意,19
苗栗縣,2023-01-10,多雲時晴,20,17,稍有寒意至舒適,21,晴時多雲,20,17,稍有寒意,19
雲林縣,2023-01-10,多雲,20,17,稍有寒意至舒適,23,多雲時陰,10,17,稍有寒意,20
花蓮縣,2023-01-10,多雲時陰短暫雨,70,18,稍有寒意至舒適,22,陰時多雲短暫雨,30,18,稍有寒意至舒適,20
臺中市,2023-01-10,多雲時晴,20,18,稍有寒意至舒適,24,多雲,10,19,稍有寒意至舒適,21
臺東縣,2023-01-10,陰時多雲短暫雨,30,19,稍有寒意至舒適,23,陰短暫雨,30,19,稍有寒意至舒適,21
桃園市,2023-01-10,多雲短暫雨,50,18,稍有寒意至舒適,21,多雲短暫雨,30,17,稍有寒意,19
南投縣,2023-01-10,多雲時晴,20,17,稍有寒意至舒適,24,多雲時陰,10,18,稍有寒意至舒適,21
高雄市,2023-01-10,多雲時陰,20,19,稍有寒意至舒適,24,陰時多雲,10,20,稍有寒意至舒適,23
金門縣,2023-01-10,陰天,20,16,稍有寒意,20,多雲時陰,10,16,稍有寒意,17
屏東縣,2023-01-10,多雲時陰短暫雨,30,19,稍有寒意至舒適,26,多雲時陰,10,19,稍有寒意至舒適,24
基隆市,2023-01-10,陰時多雲短暫雨,90,18,稍有寒意,20,多雲短暫雨,70,17,稍有寒意,19
澎湖縣,2023-01-10,陰短暫雨,30,17,稍有寒意,20,陰天,10,17,稍有寒意,17
彰化縣,2023-01-10,多雲時晴,20,18,稍有寒意至舒適,22,多雲時晴,10,17,稍有寒意,19
連江縣,2023-01-10,陰短暫雨,30,12,寒冷,14,陰天,20,11,寒冷,12
嘉義縣,2023-01-11,陰時多雲,20,18,稍有寒意至舒適,24,多雲時晴,0,18,稍有寒意至舒適,21
新北市,2023-01-11,多雲時陰短暫雨,30,18,稍有寒意至舒適,24,多雲時晴,10,18,稍有寒意至舒適,21
嘉義市,2023-01-11,陰天,20,17,稍有寒意至舒適,25,多雲時晴,0,17,稍有寒意至舒適,21
新竹縣,2023-01-11,陰時多雲,20,18,稍有寒意至舒適,22,陰天,0,18,稍有寒意,19
新竹市,2023-01-11,陰時多雲,20,17,稍有寒意至舒適,21,陰時多雲,0,18,稍有寒意,19
臺北市,2023-01-11,多雲時陰,20,17,稍有寒意至舒適,24,晴時多雲,10,17,稍有寒意,20
臺南市,2023-01-11,陰時多雲,20,18,稍有寒意至舒適,23,多雲,0,18,稍有寒意至舒適,21
宜蘭縣,2023-01-11,陰時多雲短暫雨,40,17,稍有寒意至舒適,23,陰時多雲,20,17,稍有寒意至舒適,20
苗栗縣,2023-01-11,陰天,20,18,稍有寒意至舒適,22,陰時多雲,0,18,稍有寒意,19
雲林縣,2023-01-11,陰天,20,18,稍有寒意至舒適,24,晴時多雲,0,17,稍有寒意至舒適,20
花蓮縣,2023-01-11,多雲短暫雨,50,18,稍有寒意至舒適,23,陰時多雲,20,19,稍有寒意至舒適,21
臺中市,2023-01-11,陰天,20,19,稍有寒意至舒適,24,多雲時陰,0,18,稍有寒意至舒適,21
臺東縣,2023-01-11,陰天,20,19,稍有寒意至舒適,24,陰短暫雨,50,19,稍有寒意至舒適,21
桃園市,2023-01-11,多雲時陰短暫雨,30,17,稍有寒意至舒適,24,多雲時陰,10,17,稍有寒意,20
南投縣,2023-01-11,陰天,20,18,稍有寒意至舒適,24,多雲時陰,0,17,稍有寒意至舒適,21
高雄市,2023-01-11,多雲時晴,20,20,稍有寒意至舒適,24,晴時多雲,0,19,稍有寒意至舒適,23
金門縣,2023-01-11,多雲時陰,10,16,稍有寒意,20,晴時多雲,0,16,稍有寒意,17
屏東縣,2023-01-11,多雲時陰,20,19,稍有寒意至舒適,26,多雲時晴,0,19,稍有寒意至舒適,24
基隆市,2023-01-11,多雲時陰短暫雨,40,18,稍有寒意至舒適,22,多雲,20,19,稍有寒意至舒適,20
澎湖縣,2023-01-11,陰天,20,17,稍有寒意,19,多雲時陰,0,17,稍有寒意,17
彰化縣,2023-01-11,陰天,20,18,稍有寒意至舒適,22,陰時多雲,0,18,稍有寒意,19
連江縣,2023-01-11,陰天,10,11,寒冷至稍有寒意,16,陰天,10,13,寒冷,14
嘉義縣,2023-01-12,多雲時晴,0,18,稍有寒意至舒適,25,晴時多雲,0,18,稍有寒意至舒適,21
新北市,2023-01-12,晴時多雲,20,18,稍有寒意至舒適,26,晴時多雲,10,18,稍有寒意至舒適,22
嘉義市,2023-01-12,多雲時晴,0,17,稍有寒意至舒適,26,晴時多雲,0,18,稍有寒意至舒適,22
新竹縣,2023-01-12,晴時多雲,20,18,稍有寒意至舒適,22,陰時多雲,10,18,稍有寒意,19
新竹市,2023-01-12,晴時多雲,20,18,稍有寒意至舒適,21,多雲,10,18,稍有寒意,19
臺北市,2023-01-12,晴時多雲,20,18,稍有寒意至舒適,26,多雲時晴,10,18,稍有寒意至舒適,22
臺南市,2023-01-12,多雲時晴,0,18,稍有寒意至舒適,23,晴時多雲,0,18,稍有寒意至舒適,21
宜蘭縣,2023-01-12,晴時多雲,10,17,稍有寒意至舒適,25,多雲時晴,10,18,稍有寒意至舒適,22
苗栗縣,2023-01-12,晴時多雲,20,18,稍有寒意至舒適,22,晴時多雲,10,18,稍有寒意,19
雲林縣,2023-01-12,多雲時晴,0,17,稍有寒意至舒適,25,晴時多雲,0,18,稍有寒意至舒適,21
花蓮縣,2023-01-12,晴時多雲,20,19,稍有寒意至舒適,25,晴時多雲,20,19,稍有寒意至舒適,22
臺中市,2023-01-12,晴時多雲,10,18,稍有寒意至舒適,25,晴時多雲,0,19,稍有寒意至舒適,22
臺東縣,2023-01-12,多雲,20,19,稍有寒意至舒適,25,晴時多雲,20,19,稍有寒意至舒適,22
桃園市,2023-01-12,晴時多雲,20,17,稍有寒意至舒適,24,晴時多雲,10,18,稍有寒意至舒適,20
南投縣,2023-01-12,晴時多雲,0,17,稍有寒意至舒適,25,晴時多雲,0,18,稍有寒意至舒適,22
高雄市,2023-01-12,晴時多雲,0,20,稍有寒意至舒適,25,晴時多雲,0,20,稍有寒意至舒適,23
金門縣,2023-01-12,多雲時陰,10,16,稍有寒意,20,陰時多雲,20,17,稍有寒意,18
屏東縣,2023-01-12,多雲時晴,0,19,稍有寒意至舒適,27,晴時多雲,0,19,稍有寒意至舒適,24
基隆市,2023-01-12,晴時多雲,20,19,稍有寒意至舒適,23,多雲時陰,10,19,稍有寒意至舒適,20
澎湖縣,2023-01-12,晴時多雲,0,17,稍有寒意至舒適,20,晴時多雲,0,18,稍有寒意,19
彰化縣,2023-01-12,晴時多雲,10,18,稍有寒意至舒適,23,晴時多雲,0,18,稍有寒意,20
連江縣,2023-01-12,多雲時陰短暫雨,30,13,寒冷至稍有寒意,16,多雲時陰短暫雨,30,13,寒冷,14
嘉義縣,2023-01-13,晴時多雲,0,18,稍有寒意至舒適,27,多雲時晴,0,20,舒適,23
新北市,2023-01-13,晴時多雲,0,18,稍有寒意至舒適,27,多雲,0,20,舒適,23
嘉義市,2023-01-13,晴時多雲,0,18,稍有寒意至舒適,28,多雲時晴,0,20,舒適,24
新竹縣,2023-01-13,晴時多雲,0,18,稍有寒意至舒適,25,多雲,0,20,舒適,22
新竹市,2023-01-13,晴時多雲,0,17,稍有寒意至舒適,24,多雲,0,19,稍有寒意至舒適,21
臺北市,2023-01-13,晴時多雲,0,18,稍有寒意至舒適,27,多雲,0,20,舒適,23
臺南市,2023-01-13,晴時多雲,0,18,稍有寒意至舒適,25,多雲時晴,0,21,舒適,23
宜蘭縣,2023-01-13,晴時多雲,10,19,稍有寒意至舒適,26,陰時多雲,10,19,稍有寒意至舒適,23
苗栗縣,2023-01-13,晴時多雲,0,17,稍有寒意至舒適,25,多雲,0,20,舒適,22
雲林縣,2023-01-13,晴時多雲,0,18,稍有寒意至舒適,27,多雲時晴,10,20,舒適,24
花蓮縣,2023-01-13,晴時多雲,20,19,稍有寒意至舒適,26,晴時多雲,20,20,舒適,23
臺中市,2023-01-13,晴時多雲,0,19,稍有寒意至舒適,28,多雲時晴,10,21,舒適,24
臺東縣,2023-01-13,晴時多雲,10,19,稍有寒意至舒適,26,晴時多雲,20,20,稍有寒意至舒適,23
桃園市,2023-01-13,晴時多雲,0,18,稍有寒意至舒適,27,晴時多雲,0,19,稍有寒意至舒適,22
南投縣,2023-01-13,晴時多雲,0,18,稍有寒意至舒適,27,多雲時晴,10,20,舒適,24
高雄市,2023-01-13,晴時多雲,0,20,稍有寒意至舒適,27,晴時多雲,0,22,舒適,26
金門縣,2023-01-13,陰短暫雨,50,17,稍有寒意至舒適,20,陰短暫雨,40,19,稍有寒意,19
屏東縣,2023-01-13,晴時多雲,0,19,稍有寒意至舒適,29,晴時多雲,0,21,舒適,26
基隆市,2023-01-13,晴時多雲,0,19,稍有寒意至舒適,22,多雲時陰短暫雨,30,19,稍有寒意至舒適,21
澎湖縣,2023-01-13,晴時多雲,0,19,稍有寒意至舒適,23,多雲時晴,20,21,舒適,21
彰化縣,2023-01-13,晴時多雲,0,17,稍有寒意至舒適,26,多雲時晴,10,20,舒適,23
連江縣,2023-01-13,陰短暫雨,70,14,寒冷至稍有寒意,17,陰短暫雨,50,14,寒冷,15
嘉義縣,2023-01-14,多雲短暫陣雨,30,20,稍有寒意至舒適,27,晴時多雲,10,19,稍有寒意至舒適,24
新北市,2023-01-14,多雲短暫陣雨,30,20,舒適,28,陰時多雲短暫陣雨,90,16,稍有寒意至舒適,24
嘉義市,2023-01-14,多雲短暫陣雨,30,20,稍有寒意至舒適,28,晴時多雲,10,19,稍有寒意至舒適,24
新竹縣,2023-01-14,多雲短暫陣雨,30,20,舒適,26,陰時多雲短暫陣雨,60,16,稍有寒意至舒適,22
新竹市,2023-01-14,多雲短暫陣雨,30,19,稍有寒意至舒適,25,陰時多雲短暫陣雨,70,16,稍有寒意至舒適,21
臺北市,2023-01-14,多雲短暫陣雨,30,20,稍有寒意至舒適,28,陰短暫陣雨,100,15,寒冷至舒適,24
臺南市,2023-01-14,晴時多雲,20,23,舒適,26,晴時多雲,10,20,舒適,24
宜蘭縣,2023-01-14,多雲短暫陣雨,30,19,稍有寒意至悶熱,27,陰時多雲短暫陣雨,30,16,稍有寒意至舒適,23
苗栗縣,2023-01-14,多雲短暫陣雨,30,20,舒適,26,多雲時陰短暫陣雨,60,17,稍有寒意至舒適,22
雲林縣,2023-01-14,多雲短暫陣雨,30,20,舒適,27,多雲短暫陣雨,30,18,稍有寒意至舒適,23
花蓮縣,2023-01-14,多雲短暫陣雨,30,20,舒適,27,多雲,20,19,稍有寒意至舒適,23
臺中市,2023-01-14,多雲短暫陣雨,30,21,舒適,27,多雲短暫陣雨,30,18,稍有寒意至舒適,23
臺東縣,2023-01-14,晴時多雲,20,21,舒適至悶熱,28,晴時多雲,10,20,稍有寒意至舒適,24
桃園市,2023-01-14,多雲時陰短暫陣雨,30,19,稍有寒意至舒適,27,陰時多雲短暫陣雨,90,16,稍有寒意至舒適,23
南投縣,2023-01-14,多雲短暫陣雨,30,20,舒適,27,多雲短暫陣雨,30,18,稍有寒意至舒適,23
高雄市,2023-01-14,晴時多雲,20,23,舒適,27,晴時多雲,10,22,舒適,25
金門縣,2023-01-14,多雲時陰短暫陣雨,30,19,稍有寒意至舒適,22,多雲時陰短暫陣雨,30,15,寒冷至稍有寒意,19
屏東縣,2023-01-14,多雲時陰短暫陣雨,30,21,舒適至悶熱,30,晴時多雲,10,21,舒適,26
基隆市,2023-01-14,多雲短暫陣雨,30,19,稍有寒意至舒適,25,陰短暫陣雨,100,16,稍有寒意至舒適,21
澎湖縣,2023-01-14,多雲短暫陣雨,30,21,舒適,23,多雲短暫陣雨,30,17,稍有寒意至舒適,21
彰化縣,2023-01-14,多雲短暫陣雨,30,20,稍有寒意至舒適,26,多雲短暫陣雨,30,17,稍有寒意至舒適,22
連江縣,2023-01-14,多雲時陰短暫陣雨,50,14,寒冷至稍有寒意,18,陰短暫陣雨,50,10,非常寒冷至寒冷,15
嘉義縣,2023-01-15,晴時多雲,10,18,稍有寒意至舒適,22,多雲時晴,10,14,寒冷至稍有寒意,18
新北市,2023-01-15,陰短暫雨,90,14,寒冷至稍有寒意,17,陰短暫雨,80,13,寒冷,14
嘉義市,2023-01-15,多雲時晴,10,18,稍有寒意至舒適,24,多雲,10,14,寒冷至稍有寒意,19
新竹縣,2023-01-15,陰天,20,15,寒冷至稍有寒意,17,陰短暫雨,40,13,寒冷,15
新竹市,2023-01-15,陰天,20,15,寒冷至稍有寒意,17,陰短暫雨,30,13,寒冷,15
臺北市,2023-01-15,陰短暫雨,80,13,寒冷至稍有寒意,16,陰短暫雨,80,12,寒冷,13
臺南市,2023-01-15,晴時多雲,10,19,稍有寒意至舒適,23,多雲,10,15,寒冷至稍有寒意,19
宜蘭縣,2023-01-15,陰短暫雨,30,15,寒冷至稍有寒意,17,陰短暫雨,30,13,寒冷,15
苗栗縣,2023-01-15,多雲時晴,20,15,寒冷至稍有寒意,18,多雲時晴,10,13,寒冷,15
雲林縣,2023-01-15,多雲時晴,10,18,稍有寒意至舒適,22,多雲時晴,10,14,寒冷至稍有寒意,18
花蓮縣,2023-01-15,陰時多雲,20,18,稍有寒意至舒適,21,陰天,20,14,寒冷至稍有寒意,18
臺中市,2023-01-15,多雲時晴,20,18,稍有寒意至舒適,22,多雲時晴,10,15,寒冷至稍有寒意,18
臺東縣,2023-01-15,陰時多雲短暫雨,30,20,稍有寒意至舒適,23,陰天,20,16,稍有寒意,20
桃園市,2023-01-15,陰短暫雨,60,14,寒冷至稍有寒意,16,陰短暫雨,70,12,寒冷,14
南投縣,2023-01-15,多雲時晴,20,19,稍有寒意至舒適,23,陰時多雲,10,14,寒冷至稍有寒意,19
高雄市,2023-01-15,晴時多雲,10,22,舒適,25,多雲時陰,10,17,稍有寒意至舒適,22
金門縣,2023-01-15,陰天,10,13,寒冷至稍有寒意,16,陰天,10,11,寒冷,13
屏東縣,2023-01-15,多雲,10,21,舒適,27,多雲時陰,10,16,稍有寒意至舒適,23
基隆市,2023-01-15,陰有雨,90,14,寒冷至稍有寒意,16,陰有雨,90,12,寒冷,14
澎湖縣,2023-01-15,多雲時晴,10,14,寒冷至稍有寒意,18,多雲,10,14,寒冷,15
彰化縣,2023-01-15,晴時多雲,20,17,稍有寒意,20,多雲時晴,10,14,寒冷至稍有寒意,17
連江縣,2023-01-15,陰有雨,70,9,非常寒冷,10,陰時多雲短暫雨,30,7,非常寒冷,9
嘉義縣,2023-01-16,晴時多雲,0,14,寒冷至稍有寒意,19,多雲時晴,0,12,寒冷至稍有寒意,16
新北市,2023-01-16,陰短暫雨,80,12,寒冷,13,陰短暫雨,60,13,寒冷,13
嘉義市,2023-01-16,多雲,0,14,寒冷至稍有寒意,20,多雲時晴,0,12,寒冷至稍有寒意,16
新竹縣,2023-01-16,陰天,10,13,寒冷,15,陰天,20,13,寒冷,13
新竹市,2023-01-16,陰天,10,13,寒冷,15,陰天,20,13,寒冷,13
臺北市,2023-01-16,陰短暫雨,70,12,寒冷,13,陰短暫雨,60,12,寒冷,13
臺南市,2023-01-16,多雲時晴,0,15,寒冷至稍有寒意,20,多雲,0,13,寒冷至稍有寒意,17
宜蘭縣,2023-01-16,陰天,20,13,寒冷,14,陰短暫雨,30,12,寒冷,13
苗栗縣,2023-01-16,多雲時陰,10,12,寒冷至稍有寒意,16,多雲時陰,10,12,寒冷,13
雲林縣,2023-01-16,多雲時晴,0,14,寒冷至稍有寒意,19,多雲,0,12,寒冷,15
花蓮縣,2023-01-16,陰天,10,14,寒冷至稍有寒意,18,陰時多雲,10,14,寒冷至稍有寒意,16
臺中市,2023-01-16,晴時多雲,0,15,寒冷至稍有寒意,19,晴時多雲,0,13,寒冷至稍有寒意,16
臺東縣,2023-01-16,陰時多雲,10,16,稍有寒意,20,晴時多雲,10,15,寒冷至稍有寒意,18
桃園市,2023-01-16,陰短暫雨,60,12,寒冷,14,陰短暫雨,40,12,寒冷,13
南投縣,2023-01-16,晴時多雲,0,14,寒冷至稍有寒意,20,晴時多雲,0,12,寒冷至稍有寒意,16
高雄市,2023-01-16,多雲時晴,0,16,稍有寒意至舒適,22,多雲時晴,0,15,寒冷至稍有寒意,20
金門縣,2023-01-16,多雲時晴,0,11,寒冷,14,晴時多雲,0,10,寒冷,11
屏東縣,2023-01-16,多雲,0,16,稍有寒意至舒適,24,多雲,0,14,寒冷至舒適,21
基隆市,2023-01-16,陰短暫雨,90,12,寒冷,12,陰短暫雨,90,12,寒冷,13
澎湖縣,2023-01-16,陰天,10,14,寒冷至稍有寒意,16,陰天,10,14,寒冷,14
彰化縣,2023-01-16,晴時多雲,0,14,寒冷至稍有寒意,17,晴時多雲,0,13,寒冷,15
連江縣,2023-01-16,晴時多雲,0,7,非常寒冷,8,晴時多雲,0,8,非常寒冷,8
嘉義縣,2023-01-17,晴時多雲,0,12,寒冷至稍有寒意,20,晴時多雲,0,13,寒冷至稍有寒意,17
新北市,2023-01-17,陰短暫雨,50,12,寒冷至稍有寒意,16,陰短暫雨,50,15,寒冷,15
嘉義市,2023-01-17,晴時多雲,0,12,寒冷至舒適,22,晴時多雲,0,13,寒冷至稍有寒意,17
新竹縣,2023-01-17,陰時多雲,10,13,寒冷至稍有寒意,17,多雲時晴,0,14,寒冷,15
新竹市,2023-01-17,多雲時陰,0,13,寒冷至稍有寒意,17,多雲時晴,0,14,寒冷,15
臺北市,2023-01-17,陰短暫雨,50,12,寒冷,15,陰短暫雨,60,14,寒冷,15
臺南市,2023-01-17,晴時多雲,0,14,寒冷至舒適,21,晴時多雲,0,14,寒冷至稍有寒意,18
宜蘭縣,2023-01-17,陰短暫雨,30,13,寒冷至稍有寒意,17,陰短暫雨,30,15,寒冷至稍有寒意,16
苗栗縣,2023-01-17,晴時多雲,0,12,寒冷至稍有寒意,17,晴時多雲,0,14,寒冷,15
雲林縣,2023-01-17,晴時多雲,0,12,寒冷至稍有寒意,21,晴時多雲,0,13,寒冷至稍有寒意,16
花蓮縣,2023-01-17,多雲時晴,10,15,寒冷至稍有寒意,20,多雲,10,17,稍有寒意,18
臺中市,2023-01-17,晴時多雲,0,13,寒冷至稍有寒意,21,晴時多雲,0,14,寒冷至稍有寒意,17
臺東縣,2023-01-17,多雲,10,15,寒冷至舒適,22,多雲時晴,10,17,稍有寒意,19
桃園市,2023-01-17,陰短暫雨,40,12,寒冷至稍有寒意,16,陰天,20,14,寒冷,15
南投縣,2023-01-17,晴時多雲,0,12,寒冷至稍有寒意,21,晴時多雲,0,13,寒冷至稍有寒意,17
高雄市,2023-01-17,晴時多雲,0,16,稍有寒意至舒適,23,晴時多雲,0,16,稍有寒意至舒適,21
金門縣,2023-01-17,晴時多雲,0,10,寒冷至稍有寒意,16,多雲時晴,0,12,寒冷,13
屏東縣,2023-01-17,晴時多雲,0,15,寒冷至舒適,26,晴時多雲,0,15,寒冷至舒適,22
基隆市,2023-01-17,陰短暫雨,80,13,寒冷,15,陰短暫雨,80,14,寒冷,15
澎湖縣,2023-01-17,陰時多雲,10,14,寒冷至稍有寒意,16,陰時多雲,0,15,寒冷,15
彰化縣,2023-01-17,晴時多雲,0,13,寒冷至稍有寒意,19,晴時多雲,0,14,寒冷至稍有寒意,16
連江縣,2023-01-17,晴時多雲,0,6,非常寒冷至寒冷,10,晴時多雲,0,9,非常寒冷,9
嘉義縣,2023-01-18,晴時多雲,0,13,寒冷至稍有寒意,20,晴時多雲,0,13,寒冷至稍有寒意,16
新北市,2023-01-18,陰天,20,14,寒冷,15,陰天,20,14,寒冷,15
嘉義市,2023-01-18,晴時多雲,0,12,寒冷至稍有寒意,21,晴時多雲,0,12,寒冷至稍有寒意,17
新竹縣,2023-01-18,多雲時陰,0,14,寒冷至稍有寒意,16,多雲時晴,0,14,寒冷,15
新竹市,2023-01-18,陰時多雲,0,14,寒冷至稍有寒意,16,多雲時晴,0,13,寒冷,14
臺北市,2023-01-18,陰天,20,14,寒冷,14,陰天,20,13,寒冷,14
臺南市,2023-01-18,晴時多雲,0,15,寒冷至稍有寒意,21,晴時多雲,0,14,寒冷至稍有寒意,18
宜蘭縣,2023-01-18,陰天,20,15,寒冷至稍有寒意,16,陰天,20,15,寒冷,15
苗栗縣,2023-01-18,多雲時晴,0,14,寒冷至稍有寒意,16,晴時多雲,0,13,寒冷,14
雲林縣,2023-01-18,晴時多雲,0,12,寒冷至稍有寒意,20,晴時多雲,0,12,寒冷至稍有寒意,16
花蓮縣,2023-01-18,多雲,10,17,稍有寒意,19,陰時多雲,10,17,稍有寒意,18
臺中市,2023-01-18,晴時多雲,0,14,寒冷至稍有寒意,21,晴時多雲,0,13,寒冷至稍有寒意,17
臺東縣,2023-01-18,晴時多雲,10,17,稍有寒意至舒適,23,晴時多雲,10,17,稍有寒意,20
桃園市,2023-01-18,陰天,0,14,寒冷至稍有寒意,16,陰天,0,14,寒冷,15
南投縣,2023-01-18,晴時多雲,0,12,寒冷至稍有寒意,21,晴時多雲,0,12,寒冷至稍有寒意,17
高雄市,2023-01-18,晴時多雲,0,16,稍有寒意至舒適,24,晴時多雲,0,16,稍有寒意至舒適,21
金門縣,2023-01-18,晴時多雲,0,12,寒冷至稍有寒意,16,晴時多雲,0,12,寒冷,13
屏東縣,2023-01-18,晴時多雲,0,15,寒冷至舒適,26,晴時多雲,0,15,寒冷至舒適,22
